id,nama_kelurahan,puskesmas_id,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04
55,terboyo kulon,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
56,trimulyo,10,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,4,0,0,0,0,1,1,1,0,0,0,0,2,1,2,1,0,1,0
57,tlogosari wetan,20,3,3,4,1,0,4,2,0,0,0,0,0,1,2,2,1,0,2,1,0,2,1,3,1,4,0,1,0,1,2,3,7,4,1,3,3,2,1,1,2
58,pedurungan tengah,20,1,4,4,2,0,1,3,0,0,0,2,2,0,2,0,4,1,2,0,4,1,3,0,5,5,1,3,4,4,6,5,5,5,4,7,5,5,3,2,1
59,tlogosari kulon,19,9,2,3,6,4,4,6,3,6,6,6,3,3,3,3,3,6,6,0,16,7,7,6,5,6,4,6,5,1,8,11,11,9,11,11,5,1,2,8,3
60,palebon,20,1,1,3,3,0,0,1,1,0,1,1,3,1,1,0,1,2,0,1,2,0,2,2,0,3,3,2,1,1,3,0,1,11,1,2,3,1,2,7,2
61,gemah,19,2,1,1,2,0,4,4,5,1,0,0,3,2,3,4,2,1,1,0,2,3,2,7,3,4,2,1,2,3,3,7,2,6,1,1,6,6,0,4,2
62,kalicari,19,4,4,1,0,0,1,1,2,1,1,2,1,1,0,0,0,1,0,1,2,1,1,3,0,0,0,0,2,2,2,1,2,5,2,4,2,2,3,0,0
63,tlogomulyo,20,5,1,3,4,3,0,1,1,2,0,1,4,2,1,2,5,4,1,2,1,2,1,2,3,4,2,0,3,5,2,4,3,3,5,6,6,4,2,4,2
64,pedurungan lor,20,3,2,0,0,1,0,1,0,1,0,1,0,0,0,2,1,1,0,1,1,1,0,1,4,4,0,0,2,1,3,5,2,1,2,2,2,1,1,4,2
